Year,Total Budget Received,Citation,Total Budget Requested,Citation,FOIA Budget Request,Citation,EOIR budget enacted,citation_EOIR_budget,OIG budget,citation_OIG_budget,,EOIR_foiacost,citation_EOIR_foiacost,"DOJ annual reports archive:
https://www.justice.gov/oip/reports-1",OIG_foiacost,citation_OIG_foiacost,,EOIR_ratio,OIG_ratio,,,EOIR_backlog,OIG_backlog
2023,"37,485,000,000",DOJ FY 2024 Budget Summary. 2023 at https://www.justice.gov/d9/2023-03/2-_fy_24_budget_summary_-_03.9.23_1245pm.pdf  Page 1.,"37,654,000,000",DOJ FY 2023 Budget Summary. 2022 at https://www.justice.gov/d9/pages/attachments/2022/03/31/23_budget_summary_fy_23_bud_sum_3.31.22_228-2.pdf  Page 2.,,,860000000,"2024 request, 8",149000000,"DOJ Budget and Performance Summary:                                   2024 request, 1",,,,,,,,,,,,,
2022,"35,020,000,000",DOJ FY 2024 Budget Summary. 2023 at https://www.justice.gov/d9/2023-03/2-_fy_24_budget_summary_-_03.9.23_1245pm.pdf  Page 1.,"35,304,000,000",DOJ FY 2023 Budget Summary. 2022 at https://www.justice.gov/d9/pages/attachments/2022/03/31/23_budget_summary_fy_23_bud_sum_3.31.22_228-2.pdf  Page 2.,,,760000000,"2024 request, 8",128000000,"2024 request, 1",,4744093.71,"DOJ FOIA AR FY22, 1",,763783,"DOJ FOIA AR FY22, 2",,0.006242228566,0.005967054688,,,43808,228
2021,"32,423,000,000",DOJ FY 2023 Budget Summary. 2022 at https://www.justice.gov/d9/pages/attachments/2022/03/31/23_budget_summary_fy_23_bud_sum_3.31.22_228-2.pdf  Page 2.,"31,700,000,000",DOJ FY 2021 Budget Summary. 2020 at https://www.justice.gov/d9/pages/attachments/2020/02/10/budget_summary.pdf  Page 3.,,,734000000,"2023 request, 10",121000000,"2024 request, 1",,3858239,"DOJ FOIA AR FY 21, 1",,719295,"DOJ FOIA AR FY 21, 2",727367,0.005256456403,0.005944586777,,,29735,11
2020,"32,387,000,000",DOJ FY 2022 Budget Summary. 2021 at https://www.justice.gov/d9/pages/attachments/2021/05/27/fy_22_budget_performance_summary_5.25.21.pdf Page 5.,"29,200,000,000",DOJ FY 2020 Budget Summary. 2019 at https://www.justice.gov/d9/pages/attachments/2019/03/11/fy_2020_budget_summary.pdf Page 1.,,,672966000,"2021 request, 9",117000000,"2022 request, 33",,4006039,"DOJ FOIA AR FY20, 1",,563000,"DOJ FOIA AR FY20, 2",,0.005952810395,0.004811965812,,,10923,150
2019,"29,900,000,000",DOJ FY 2020 Budget Summary. 2019 at https://www.justice.gov/d9/pages/attachments/2019/03/11/fy_2020_budget_summary.pdf Page 1.,"28,000,000,000",DOJ FY 2019 Budget Summary. 2018 at https://www.justice.gov/d9/pages/attachments/2018/02/12/2_2019_budget_summary_2.12.18.pdf Page 1.,,,563407000,"2019 request, 9",101000000,"2022 request, 33",,3998716,"DOJ FOIA AR FY19, 1",,517000,"DOJ FOIA AR FY19, 1",,0.007097384307,0.005118811881,,,9155,167
2018,"28,100,000,000",DOJ FY 2019 Budget Summary. 2018 at https://www.justice.gov/d9/pages/attachments/2018/02/12/2_2019_budget_summary_2.12.18.pdf Page 1.,"27,700,000,000",DOJ FY 2018 Budget Summary. 2017 at https://www.justice.gov/media/895841/dl?inline  Page 1.,,,504500000,"2020 request, 10",97000000,"2020 request, 1",,4779650,"DOJ FOIA AR FY18, 1",,237900,"DOJ FOIA AR FY18, 2",,0.009474033697,0.00245257732,,,2403,228
2017,"28,800,000,000",DOJ FY 2018 Budget Summary. 2017 at https://www.justice.gov/media/895841/dl?inline  Page 1.,"29,000,000,000",DOJ FY 2017 Budget Summary. 2016 at https://www.justice.gov/d9/pages/attachments/2016/02/08/4_doj_2017_budget_summary.pdf  Page 1.,,,440000000,"2019 request, 9",96000000,"2020 request, 1",,3430000,"DOJ FOIA AR FY17, 1",,229000,"DOJ FOIA AR FY17, 2",,0.007795454545,0.002385416667,,,1494,164
2016,"28,700,000,000",DOJ FY 2017 Budget Summary. 2016 at https://www.justice.gov/d9/pages/attachments/2016/02/08/4_doj_2017_budget_summary.pdf  Page 1.,"28,653,702,000",DOJ FY 2016 Budget Summary. 2015 at https://www.justice.gov/sites/default/files/jmd/pages/attachments/2015/02/02/2016_budget_summary_pages_5-12.pdf  Page 1.,,,422295000,"2018 request, 1",94000000,"2017 request, 1",,3185246,"DOJ FOIA AR FY16, 1",,380000,"DOJ FOIA AR FY16, 2",,0.00754270356,0.004042553191,,,646,78
2015,"26,227,375,000",DOJ FY 2016 Budget Summary. 2015 at https://www.justice.gov/sites/default/files/jmd/pages/attachments/2015/02/02/2016_budget_summary_pages_5-12.pdf  Page 1.,"27,400,000,000",DOJ FY 2015 Budget Summary. 2014 at https://www.justice.gov/sites/default/files/jmd/legacy/2013/11/21/fy15-bud-sum.pdf  Page 4.,,,347200000,"2016 request, 1",89000000,"2017 request, 1",,3426662,"DOJ FOIA AR FY15, 1",,579000,"DOJ FOIA AR FY15, 2",,0.009869418203,0.006505617978,,,768,32
2014,"27,300,000,000",DOJ FY 2015 Budget Summary. 2014 at https://www.justice.gov/sites/default/files/jmd/legacy/2013/11/21/fy15-bud-sum.pdf  Page 4.,"27,600,000,000",DOJ FY 2014 Budget Summary. 2013 at https://www.justice.gov/sites/default/files/jmd/legacy/2013/11/11/fy14-bud-sum.pdf  Page 3.,,,312200000,"2015 request, 1",86000000,"2017 request, 1",,3350649,"DOJ FOIA AR FY14, 1",,565000,"DOJ FOIA AR FY14, 2",,0.01073237988,0.006569767442,,,983,46
2013,"NA online, unclear why",,"27,100,000,000",DOJ FY 2013 Budget Summary. 2012 at https://www.justice.gov/sites/default/files/jmd/legacy/2014/08/25/fy13-bud-summary-request-performance.pdf  Page 4.,,,not available ,,85000000,"2014 4equest, 1",,2802692.91,"DOJ FOIA AR FY13, 1",,467193,"DOJ FOIA AR FY13, 2",,,0.005496388235,,,180,45
2012,"26,800,000,000",DOJ FY 2014 Budget Summary. 2013 at https://www.justice.gov/sites/default/files/jmd/legacy/2013/11/11/fy14-bud-sum.pdf  Page 3.,"28,200,000,000",DOJ FY 2012 Budget Summary. 2011 at https://www.justice.gov/sites/default/files/jmd/legacy/2014/01/12/fy12-bud-summary-request-performance.pdf Page 3.,,,302300000,"2014 request, 1",84200000,"2013 request, 1",,2215159,"DOJ FOIA AR FY12, 1",,344000,"DOJ FOIA AR FY12, 1",,0.007327684419,0.004085510689,,,179,34
2011,"27,700,000,000",DOJ FY 2012 Budget Summary. 2011 at https://www.justice.gov/sites/default/files/jmd/legacy/2014/01/12/fy12-bud-summary-request-performance.pdf Page 3.,"29,190,174,000",DOJ FY 2011 Budget Summary. 2010 at https://www.justice.gov/sites/default/files/jmd/legacy/2014/01/16/doj-budget-summary.pdf Page 1.,,,298000000,"2012 request, 1",84400000,"2012 request, 1",,1757232,"DOJ FOIA AR FY11, 1",,287000,"DOJ FOIA AR FY11, 1",,0.005896751678,0.003400473934,,,205,8
2010,"27,700,551,000",DOJ FY 2011 Budget Summary. 2010 at https://www.justice.gov/sites/default/files/jmd/legacy/2014/01/16/doj-budget-summary.pdf Page 1.,"26,698,777,000",DOJ FY 2010 Budget Summary. 2009 at https://www.justice.gov/sites/default/files/jmd/legacy/2014/07/06/bud-summary.pdf  Page 1.,,,298900000,"2011 request, 1",84400000,2011 request 1,,1984038,"DOJ FOIA AR FY10, 1",,350000,"DOJ FOIA AR FY10, 1",,0.006637798595,0.004146919431,,,264,0
